timestamp,Pressure,Mass_Flow,Temperature
2025/7/31 23:55,3927.664816548429,0.0001,30.04808774588145
2025/8/1 00:00,3909.397662689124,9.99999999999e-05,249.0025668821546
2025/8/1 00:05,3927.839935578837,0.0001,32.38556970197607
2025/8/1 00:10,3899.076844471984,0.0001,248.8466990090656
2025/8/1 00:15,3927.74677623482,9.99999999999e-05,29.284310244963194
2025/8/1 00:20,3908.813990374131,0.0001,248.99376051201972
2025/8/1 00:25,3899.1512728267953,0.0001,248.8478241772353
2025/8/1 00:30,3927.770753587393,0.0001,29.867649174897902
2025/8/1 00:35,3899.104293500351,0.0001,248.84711397075
2025/8/1 00:40,3927.6573753585335,9.99999999999e-05,29.980300821847948
2025/8/1 00:45,3909.404490554759,0.0001,249.00266989412296
2025/8/1 00:50,3927.7103855317855,9.99999999999e-05,29.65910317996247
2025/8/1 00:55,3889.286604390087,0.0001,248.6985517888864
2025/8/1 01:00,3907.6273680044487,9.99999999999e-05,29.908538288948023
2025/8/1 01:05,3879.006914107204,0.0001,248.54269045106184
2025/8/1 01:10,3919.329751290686,9.99999999999e-05,249.1522667997973
2025/8/1 01:15,3898.9397662882025,9.99999999999e-05,248.84462669115496
2025/8/1 01:20,3898.6654045391138,9.99999999999e-05,248.8404787828172
2025/8/1 01:25,3888.8150275026974,0.0001,248.6914086180872
2025/8/1 01:30,3899.282077704452,0.0001,248.8498015757525
2025/8/1 01:35,3908.955882723146,0.0001,248.99590145752097
2025/8/1 01:40,3899.458306394149,9.99999999999e-05,248.8524655730714
2025/8/1 01:45,3898.706688470094,9.99999999999e-05,248.841102943736
2025/8/1 01:50,3899.624883654683,9.99999999999e-05,248.8549835878091
2025/8/1 01:55,3888.635009736952,0.0001,248.6886816393345
2025/8/1 02:00,3869.417809151271,9.99999999999e-05,248.3970143784735
2025/8/1 02:05,3868.636884858354,9.99999999999e-05,248.38513853695576
2025/8/1 02:10,3839.399229575382,9.99999999999e-05,248.29758764911944
2025/8/1 02:15,3889.12377435774,0.0001,248.6960854097979
2025/8/1 02:20,3879.039591814155,9.99999999999e-05,248.54318641351392
2025/8/1 02:25,3889.143190351923,9.99999999999e-05,248.6963795071307
2025/8/1 02:30,3888.852307102115,9.99999999999e-05,248.69197333179704
2025/8/1 02:35,3889.5994281337,0.0001,248.70328989400664
2025/8/1 02:40,3899.003934929238,9.99999999999e-05,248.8455967855388
2025/8/1 02:45,3879.286935950659,0.0001,248.54694034930048
2025/8/1 02:50,3888.895643120761,9.99999999999e-05,248.69262978331403
2025/8/1 02:55,3879.721162683338,0.0001,248.5697956892111
2025/8/1 03:00,3898.666849971973,0.0001,248.8405006360233
2025/8/1 03:05,3879.325362348069,9.99999999999e-05,248.54752352932428
2025/8/1 03:10,3878.808963879836,0.0001,248.539686013948
2025/8/1 03:15,3878.928556042022,9.99999999999e-05,248.5415011667501
2025/8/1 03:20,3909.5299671947087,0.0001,249.0045629349273
2025/8/1 03:25,3888.656738355032,9.99999999999e-05,248.68901079797809
2025/8/1 03:30,3859.307503320739,0.0001,248.2431205533908
2025/8/1 03:35,3868.794439521665,9.99999999999e-05,248.3875346842893
2025/8/1 03:40,3899.8987099984993,9.99999999999e-05,248.8591226218645
2025/8/1 03:45,3908.722834749981,0.0001,248.9923850771927
2025/8/1 03:50,3878.860145141786,9.99999999999e-05,248.54046284109847
2025/8/1 03:55,3868.587189876263,9.99999999999e-05,248.3843827424954
2025/8/1 04:00,3879.333510618456,0.0001,248.547647191363
2025/8/1 04:05,3899.5445341402137,9.99999999999e-05,248.85376901897803
2025/8/1 04:10,3898.763212838626,9.99999999999e-05,248.8419575126221
2025/8/1 04:15,3899.8899186713206,9.99999999999e-05,248.8589897396315
2025/8/1 04:20,3898.761207776156,0.0001,248.8419271990623
2025/8/1 04:25,3879.5305158653687,0.0001,248.5506369764438
2025/8/1 04:30,3868.647098816218,9.99999999999e-05,248.3852938767237
2025/8/1 04:35,3879.98666144492,9.99999999999e-05,248.7176409605288
2025/8/1 04:40,3888.755036190023,0.0001,248.6904998572171
2025/8/1 04:45,3879.263027826575,0.0001,248.54657750430192
2025/8/1 04:50,3889.5292197630015,0.0001,248.7022265262102
2025/8/1 04:55,3889.1646932372632,9.99999999999e-05,248.69670521364344
2025/8/1 05:00,3879.48700229406,9.99999999999e-05,248.5499766171013
2025/8/1 05:05,3879.046715685251,9.99999999999e-05,248.5432945348906
2025/8/1 05:10,3879.8736341942,0.0001,248.63907380131684
2025/8/1 05:15,3919.450308473004,9.99999999999e-05,249.15408209449663
2025/8/1 05:20,3879.6033758138415,9.99999999999e-05,248.5517426819404
2025/8/1 05:25,3868.7834083284456,0.0001,248.3873669204136
2025/8/1 05:30,3880.118794664796,0.0001,248.7218060705508
2025/8/1 05:35,3919.434530301589,9.99999999999e-05,249.1538445164681
2025/8/1 05:40,3879.264066768004,9.99999999999e-05,248.54659327197703
2025/8/1 05:45,3868.881979813615,9.99999999999e-05,248.38886599587283
2025/8/1 05:50,3869.295522770347,0.0001,248.39515483968933
2025/8/1 05:55,3889.694996790883,0.0001,248.7047373421224
2025/8/1 06:00,3889.1042355535656,9.99999999999e-05,248.6957894511063
2025/8/1 06:05,3879.702259346149,9.99999999999e-05,248.5770531977057
2025/8/1 06:10,3889.191592157,9.99999999999e-05,248.69711265252647
2025/8/1 06:15,3879.991878837884,9.99999999999e-05,248.6758752826795
2025/8/1 06:20,3899.182151731685,9.99999999999e-05,248.848290983222
2025/8/1 06:25,3869.937914715277,0.0001,248.63091525729035
